acc_x,acc_y,acc_z,pitch,roll,yaw,vel,vel_max,latitud,longitud,altura,altura_max,temperatura,estado,flag,timestamp_pc
-10.302,8.739,-16.664,-15.28,-13.91,317.99,91.33,422.66,41.649269,-0.882833,955.24,1257.7,35.62,0,0,2026-07-01T10:14:22.501
-16.057,-8.217,15.43,20.38,-142.95,112.56,28.67,427.63,41.645557,-0.890051,230.59,1339.48,31.66,4,1,2026-07-01T10:14:22.612
1.773,-2.968,11.035,-48.48,163.29,257.62,235.04,388.42,41.648197,-0.885425,1008.9,1467.11,31.13,4,0,2026-07-01T10:14:22.724
-1.772,-15.781,15.546,-82.39,-42.84,67.64,282.3,378.08,41.656395,-0.887042,761.79,1404.11,31.9,1,1,2026-07-01T10:14:22.836
-8.981,1.186,7.848,-52.25,-142.08,1.45,170.61,376.72,41.659294,-0.885723,750.8,1475.27,43.62,2,1,2026-07-01T10:14:22.948
-9.577,7.955,5.887,-7.9,-23.13,299.87,240.06,400.42,41.642296,-0.899036,833.91,1298.65,26.9,3,1,2026-07-01T10:14:23.076
-17.862,-13.552,4.529,-46.64,-35.5,3.21,168.65,388.66,41.65546,-0.892581,418.28,1302.7,22.71,2,1,2026-07-01T10:14:23.188
-6.002,14.411,-13.994,85.32,-157.51,106.45,25.62,402.34,41.651482,-0.895145,600.03,1321.29,34.99,4,1,2026-07-01T10:14:23.300
-8.736,-0.912,11.929,22.84,-72.7,195.99,134.08,430.46,41.651608,-0.891868,803.59,1490.36,17.1,3,1,2026-07-01T10:14:23.411
-18.975,-4.06,-7.1,37.29,-179.15,160.66,262.67,312.08,41.65871,-0.875897,262.44,1255.04,41.32,1,0,2026-07-01T10:14:23.523
1.896,-11.585,9.014,58.9,-81.28,259.02,251.36,336.4,41.640556,-0.880577,957.86,1346.81,31.63,0,1,2026-07-01T10:14:23.650
16.614,7.836,6.195,-70.78,30.83,317.68,83.66,373.41,41.651608,-0.887819,163.53,1355.17,18.99,1,1,2026-07-01T10:14:23.761
-12.908,3.367,6.682,79.18,-150.3,328.48,257.94,439.66,41.645653,-0.89558,104.88,1328.49,32.28,0,1,2026-07-01T10:14:23.871
3.617,-9.731,-7.751,46.96,-47.15,110.64,259.5,301.48,41.658134,-0.871271,191.59,1484.74,26.11,4,0,2026-07-01T10:14:23.981
16.964,-2.027,12.15,72.75,126.25,101.36,59.68,329.48,41.644115,-0.884633,410.02,1390.99,27.86,1,1,2026-07-01T10:14:24.092
12.058,-3.506,6.978,-37.51,130.13,97.5,51.01,363.06,41.648567,-0.882705,562.8,1342.72,27.92,1,1,2026-07-01T10:14:24.203
-0.625,-19.37,1.299,53.14,-104.16,111.92,251.35,320.8,41.648563,-0.874363,182.92,1326.93,41.87,1,0,2026-07-01T10:14:24.314
-17.103,10.173,2.963,73.0,4.82,198.31,116.71,408.94,41.655186,-0.883237,638.85,1376.03,42.19,1,1,2026-07-01T10:14:24.425
-3.733,19.198,-12.985,-3.22,135.1,343.38,39.44,368.19,41.64315,-0.872905,577.63,1393.43,42.69,1,1,2026-07-01T10:14:24.539
-19.616,15.522,-11.935,-27.32,-98.2,43.22,122.97,359.45,41.649769,-0.892023,6.28,1341.02,36.29,2,1,2026-07-01T10:14:24.645
-4.151,-12.844,4.525,51.09,30.12,150.41,203.47,390.4,41.645126,-0.871153,664.92,1485.61,25.74,3,0,2026-07-01T10:14:24.756
3.447,-14.814,7.143,56.51,109.15,320.12,130.61,442.86,41.646381,-0.891566,240.14,1215.01,18.87,0,1,2026-07-01T10:14:24.866
-5.672,2.589,18.187,-57.59,122.29,51.82,73.65,357.39,41.654831,-0.876949,78.98,1460.69,30.72,2,1,2026-07-01T10:14:24.977
13.847,9.367,4.099,58.13,-168.63,295.38,245.3,408.7,41.656204,-0.88734,322.84,1467.55,43.83,2,0,2026-07-01T10:14:25.088
6.015,-7.33,0.941,9.9,-158.18,50.07,72.59,363.88,41.656555,-0.890329,724.29,1254.07,43.45,4,0,2026-07-01T10:14:25.214
